date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:04:47	6421/6421	---M--	200	added ('OK')	image/jpeg	etag:%22be3db04e1ebd1080e85c177fea8e3ede%22	http://cdn.shopify.com/s/files/1/0271/9799/products/6c_d1a65a4c-1488-4778-8781-cc0707ef7b28_compact.jpeg?v=1380638344	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/6c_d1a65a4c-1488-4778-8781-cc0707ef7b28_compact4b61.jpg	(from https://envy-stockholm.myshopify.com/products/eivissa-printed-halterneck-swimsuit)
00:04:52	216862/216862	---M--	200	added ('OK')	image/jpeg	etag:%2227caf9f363f9fc0d50c0f2537b903196%22	http://cdn.shopify.com/s/files/1/0271/9799/products/6a_4cec6b1b-b50b-4373-8fc3-606de2f56211_1024x1024.jpeg?v=1380638344	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/6a_4cec6b1b-b50b-4373-8fc3-606de2f56211_1024x10244b61.jpg	(from https://envy-stockholm.myshopify.com/products/eivissa-printed-halterneck-swimsuit)
00:04:58	64026/64026	---M--	200	added ('OK')	image/jpeg	etag:%22833211ac1571ba96c097d06871058342%22	http://cdn.shopify.com/s/files/1/0271/9799/products/6b_13b0c6e8-a37a-4193-a884-5442467525f4_grande.jpeg?v=1380638344	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/6b_13b0c6e8-a37a-4193-a884-5442467525f4_grande4b61.jpg	(from https://envy-stockholm.myshopify.com/products/eivissa-printed-halterneck-swimsuit)
00:04:59	715/715	---M--	301	error ('Moved%20Permanently')	text/html	date:Tue,%2006%20Oct%202015%2016:04:59%20GMT	http://pinterest.com/pin/create/button/?url=http://envy-stockholm.myshopify.com/products/eivissa-printed-halterneck-swimsuit&media=//cdn.shopify.com/s/files/1/0271/9799/products/6a_4cec6b1b-b50b-4373-8fc3-606de2f56211_1024x1024.jpeg?v=1380638344&description=Eivissa%20printed%20halterneck%20swimsuit	D:/Dropbox/themeforest/envy/pinterest.com/pin/create/button/indexb560.html	(from https://envy-stockholm.myshopify.com/products/eivissa-printed-halterneck-swimsuit)
00:05:00	837/837	---MCZ	200	added ('OK')	application/json+oembed	etag:cacheable:834e3ff3e09188869cc3d7c3596a77a8	http://envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch.oembed	D:/Dropbox/themeforest/envy/envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch.oembed	(from https://envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch)
00:05:00	84385/84385	---M--	200	added ('OK')	image/jpeg	etag:%2227caf9f363f9fc0d50c0f2537b903196%22	http://cdn.shopify.com/s/files/1/0271/9799/products/6a_4cec6b1b-b50b-4373-8fc3-606de2f56211_grande.jpeg?v=1380638344	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/6a_4cec6b1b-b50b-4373-8fc3-606de2f56211_grande4b61.jpg	(from https://envy-stockholm.myshopify.com/products/eivissa-printed-halterneck-swimsuit)
00:05:01	54233/54233	---M--	200	added ('OK')	image/jpeg	etag:%22be3db04e1ebd1080e85c177fea8e3ede%22	http://cdn.shopify.com/s/files/1/0271/9799/products/6c_d1a65a4c-1488-4778-8781-cc0707ef7b28_grande.jpeg?v=1380638344	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/6c_d1a65a4c-1488-4778-8781-cc0707ef7b28_grande4b61.jpg	(from https://envy-stockholm.myshopify.com/products/eivissa-printed-halterneck-swimsuit)
00:05:04	7340/7340	---M--	200	added ('OK')	image/jpeg	etag:%2268647179951204ae5e74bda20053a56a%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6a_2_compact.jpeg?v=1380638349	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6a_2_compactd5ae.jpg	(from https://envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch)
00:05:10	354016/354016	---M--	200	added ('OK')	image/jpeg	etag:%2227caf9f363f9fc0d50c0f2537b903196%22	http://cdn.shopify.com/s/files/1/0271/9799/products/6a_4cec6b1b-b50b-4373-8fc3-606de2f56211.jpeg?v=1380638344	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/6a_4cec6b1b-b50b-4373-8fc3-606de2f562114b61.jpg	(from https://envy-stockholm.myshopify.com/products/eivissa-printed-halterneck-swimsuit)
00:05:12	8600/8600	---M--	200	added ('OK')	image/jpeg	etag:%222035979874f587792f81f4d2a9dad362%22	http://cdn.shopify.com/s/files/1/0271/9799/products/image6b_1_compact.jpeg?v=1380638349	D:/Dropbox/themeforest/envy/cdn.shopify.com/s/files/1/0271/9799/products/image6b_1_compactd5ae.jpg	(from https://envy-stockholm.myshopify.com/products/emporio-armani-rubber-watch)
